그룹	행	2Depth	3Depth	Checklist	현재H	현재I	후보1_yaml	후보1_케이스	점수	후보2_yaml	후보2_케이스
Initial  Screen	47	Chat	Referral Code	Chat 화면 이동 확인	05_InitialScreen	[08] Chat→팝업 노출·아니요·예					
Initial  Screen	48	App version	Referral Code	하단에 앱 버전 표시 확인	—	—					
Login	49	Find my User ID	Referral Code	User ID 문자 수신 확인	—	—					
Login	50	Forgot Password	Referral Code	New Password 문자 수신 확인	—	—					
Login	51	Register Here	Referral Code	이용약관 동의 화면 노출 확인	01_Login_remaining	[02] TODO (element ID 미확인)					
Login	52	Chat	Referral Code	Chat 화면 이동 확인	01_Login_remaining	[01] TODO (element ID 미확인)					
Login	53	Complex Password	Referral Code	로그인 성공 확인 	01_01_Login_First	복합 비밀번호 로그인 성공					
Login	54	Complex Password	Referral Code	로그인 실패 확인 ( 틀린 비밀번호 입력)	01_01_Login_First	틀린 비밀번호 1회 실패→성공					
Login	55	Complex Password	Referral Code	로그인 5회 실패 동작 확인 	—	—					
Login	56	Simple Password	Referral Code	로그인 성공 확인 	01_01_Login_First	간편비밀번호 설정·로그인 성공					
Login	57	Simple Password	Referral Code	로그인 실패 확인 ( 틀린 비밀번호 입력)	01_03_Login_Wrong simple password	틀린 간편비밀번호 입력					
Login	58	Simple Password	Referral Code	로그인 5회 실패 동작 확인 	01_03_Login_Wrong simple password	간편비밀번호 5회 실패					
Login	59	Biometric	Referral Code	로그인 성공 확인 	—	—					
Login	60	Biometric	Referral Code	로그인 실패(생체인식 실패) > 간편비밀번호 입력 > 로그인 성공확인	—	—					
Login	61	Home Elements	Referral Code	홈 화면 기본 요소 노출 — 인사말/이름, GME Wallet, 해외·국내·받기·입금 버튼, 하단 내비, 배너 인디케이터, 최	09_Home	[01] 홈 화면 기본 요소 노출					
HOME	62	Notification	Notification	알림 내역 표시 확인 - 검색 동작 확인			09_Home	[02] 잔액 마스킹 토글(눈 아이콘) 동작 확인	0.23	09_Home	[05] 알림 아이콘 탭 → 공지사항/알림 화면 이동 확인
HOME	63	Notification	Notification	알림 선택시 내용 표시 확인 - N표시 사라짐			09_Home	[05] 알림 아이콘 탭 → 공지사항/알림 화면 이동 확인	0.20	09_Home	[09] 송금 버튼 탭 → 송금 종류 바텀시트 노출 확인
HOME	64	Notification	Notification	알림 삭제 동작 확인			09_Home	[05] 알림 아이콘 탭 → 공지사항/알림 화면 이동 확인	0.31	09_Home	[02] 잔액 마스킹 토글(눈 아이콘) 동작 확인
HOME	65	Notification	Notice	공지사항 내역 표시 확인 - 검색 동작 확인			09_Home	[05] 알림 아이콘 탭 → 공지사항/알림 화면 이동 확인	0.27	09_Home	[02] 잔액 마스킹 토글(눈 아이콘) 동작 확인
HOME	66	Notification	Notice	공지사항 선택시 내용 표시 확인			09_Home	[05] 알림 아이콘 탭 → 공지사항/알림 화면 이동 확인	0.30	09_Home	[12] 플로팅 고객지원 버튼 탭 → 고객지원 바텀시트 항목 확인
HOME	67	Account	GME Wallet	GME Wallet Number 노출 확인 - Copy 동작 확인			09_Home	[14] GME Wallet 번호 복사 → 복사 완료 토스트 확인	0.36	09_Home	[01] 홈 화면 기본 요소 노출 확인
HOME	68	Account	GME Wallet	Total GME Balanece 노출 확인 - 선택시 Available 화면으로 전환			09_Home	[14] GME Wallet 번호 복사 → 복사 완료 토스트 확인	0.19	09_Home	[01] 홈 화면 기본 요소 노출 확인
HOME	69	Account	GME Wallet	Total Wallet Balanece 숨기기/보이기 동작 확인			09_Home	[14] GME Wallet 번호 복사 → 복사 완료 토스트 확인	0.24	09_Home	[02] 잔액 마스킹 토글(눈 아이콘) 동작 확인
HOME	70	Account	GME Wallet	잔액 숨김→재시작→***** KRW 유지 / 잔액 표시→재시작→정상금액 표시 확인	09_Home	[04] 잔액 토글 앱 재시작 후 상태 유지					
HOME	71	Account	GME Wallet	Transfer 선택시, 송금 바텀시트 발생 확인 - Overseas Transfer / Local Transfer			09_Home	[09] 송금 버튼 탭 → 송금 종류 바텀시트 노출 확인	0.25	09_Home	[12] 플로팅 고객지원 버튼 탭 → 고객지원 바텀시트 항목 확인
HOME	72	Account	GME Wallet	Deposit 선택시, GME Deposit Service 화면 이동 확인 - GME Wallet Deposit, GMEPay			09_Home	[14] GME Wallet 번호 복사 → 복사 완료 토스트 확인	0.16	09_Home	[15] 배너 탭 → 화면 이동 후 홈 복귀 확인
HOME	73	Account	Bank	Bank 선택시,  Bank 페이지로 전환 확인 - Wallet에서 스와이프시, Bank 페이지 이동 확인			09_Home	[04] QR 아이콘 탭 → 잔액 카드가 QR 페이지로 전환 확인	0.23	09_Home	[03] 잔액 카드 페이저 스와이프 → 계좌 전환 확인
HOME	74	Account	Bank	KTFC Account Number 노출 확인 - Copy 동작 확인			09_Home	[01] 홈 화면 기본 요소 노출 확인	0.20	09_Home	[02] 잔액 마스킹 토글(눈 아이콘) 동작 확인
HOME	75	Account	Bank	Bank Balanece 숨기기/보이기 동작 확인			09_Home	[02] 잔액 마스킹 토글(눈 아이콘) 동작 확인	0.23	09_Home	[15] 배너 탭 → 화면 이동 후 홈 복귀 확인
HOME	76	Account	Bank	Transfer 선택시, 송금 바텀시트 발생 확인 - Overseas Transfer / - Local Transfer			09_Home	[09] 송금 버튼 탭 → 송금 종류 바텀시트 노출 확인	0.24	09_Home	[12] 플로팅 고객지원 버튼 탭 → 고객지원 바텀시트 항목 확인
HOME	77	Account	Bank	Check Statement 선택시, Bamk Statement 이동 확인 - 은행 명세서 내역 표시여부를 묻는 팝업 발생			09_Home	[06] 리워드 포인트 탭 → 리워드 포인트 내역 화면 이동 확인	0.14	09_Home	[14] GME Wallet 번호 복사 → 복사 완료 토스트 확인
HOME	78	Account	Bank	Bank 페이지 스와이프시 계좌추가 페이지 노출 확인			09_Home	[03] 잔액 카드 페이저 스와이프 → 계좌 전환 확인	0.31	09_Home	[01] 홈 화면 기본 요소 노출 확인
